NPDES_ID,VERSION_NMBR,ACTIVITY_ID,NPDES_VIOLATION_ID,PERM_FEATURE_NMBR,PERMIT_ACTIVITY_ID,LIMIT_SET_DESIGNATOR,MONITORING_LOCATION_CODE,DMR_FORM_VALUE_ID,DMR_VALUE_NMBR,DMR_VALUE_ID,DMR_PARAMETER_ID,NODI_CODE,ADJUSTED_DMR_VALUE_NMBR,LIMIT_VALUE_STANDARD_UNITS,VIOLATION_TYPE_CODE,VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_DESC,PARAMETER_CODE,PARAMETER_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,MONITORING_PERIOD_END_DATE,NMBR_OF_REPORT,EXCEEDENCE_PCT,VALUE_QUALIFIER_CODE,UNIT_CODE,VALUE_RECEIVED_DATE,DAYS_LATE,ADJUSTED_DMR_STANDARD_UNITS,LIMIT_ID,DMR_VALUE_STANDARD_UNITS,VALUE_TYPE_CODE,RNC_DETECTION_CODE,RNC_DETECTION_DESC,RNC_DETECTION_DATE,RNC_RESOLUTION_CODE,RNC_RESOLUTION_DESC,RNC_RESOLUTION_DATE,STATISTICAL_BASE_CODE,STATISTICAL_BASE_MONTHLY_AVG,STATISTICAL_BASE_SHORT_DESC
NM0028762,3,3600771189,3639473448,001,3600771189,Q,1,3662550665,,3676107681,3640927931,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",19,mg/L,09/30/2018,3,,,,10/11/2018,,,3601725081,,C3,K,"Non-receipt Violation, Non-Monthly Average",11/28/2018,9,RE - Manual by Back into Compliance/Administratively Resolved,11/28/2018,DD,N,DAILY MX
NM0000116,1,20044287,601442301,001,20044287,A,1,,,,,,,50,,,D90,"DMR, Limited - Overdue",00530,"Solids, total suspended",19,mg/L,04/30/2006,1,,,,,,,20209085,,C3,K,"Non-receipt Violation, Non-Monthly Average",08/28/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0000116,1,20044287,200000845,001,20044287,A,1,,,,,,,,,,D80,"DMR, Monitor Only - Overdue",01105,"Aluminum, total [as Al]",19,mg/L,02/28/2006,1,,,,,,,20209091,,C3,K,"Non-receipt Violation, Non-Monthly Average",05/29/2006,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),09/30/2011,DD,N,DAILY MX
NM0000116,3,2200037726,3600828593,004,2200037726,A,1,,,,,,,9,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,12/31/2014,1,,,,,,,2200113551,,C3,K,"Non-receipt Violation, Non-Monthly Average",02/28/2015,B,RE - Manual by EPA/State/Tribal Action,12/31/2016,MB,N,MAXIMUM
NM0000116,3,2200037726,2602759705,001,2200037726,A,1,,,,,,,9,,,D90,"DMR, Limited - Overdue",00400,pH,12,SU,12/31/2011,1,,,,,,,2200113507,,C3,K,"Non-receipt Violation, Non-Monthly Average",02/28/2012,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),02/28/2014,MB,N,MAXIMUM
NM0020583,4,3600830134,3631989132,001,3600830134,A,1,,,,,,,85,,,D90,"DMR, Limited - Overdue",81011,"Solids, suspended percent removal",23,%,02/28/2017,1,,,,,,,3602996646,,C1,,,,,,,MJ,,MO AV MN
NM0028762,3,3600771189,3638338047,001,3600771189,Q,1,3662550662,,3670924844,3638125078,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,06/30/2018,3,,,,07/16/2018,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,08/28/2018,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2020,MK,A,MO AVG
NM0028762,3,3600771189,3638338047,001,3600771189,Q,1,3662550662,,3670924844,3638125078,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,06/30/2018,3,,,,07/16/2018,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,08/28/2018,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2020,MK,A,MO AVG
NM0028762,3,3600771189,3638338047,001,3600771189,Q,1,3662550662,,3670924844,3638125078,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,06/30/2018,3,,,,07/16/2018,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,08/28/2018,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2020,MK,A,MO AVG
NM0028762,3,3600771189,3638338047,001,3600771189,Q,1,3662550662,,3670924844,3638125078,8,,,EFF,"Effluent Limit Violations,Not Otherwise Specified",D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,06/30/2018,3,,,,07/16/2018,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,08/28/2018,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2020,MK,A,MO AVG
NM0028762,3,3600771189,3638338047,001,3600771189,Q,1,3662550662,,3670924844,3638125078,8,,,NODMR,Failure To Submit DMR,D80,"DMR, Monitor Only - Overdue",01106,"Aluminum, dissolved [as Al]",01,kg/d,06/30/2018,3,,,,07/16/2018,,,3601725081,,Q1,N,Non-Receipt of DMR/Schedule Report,08/28/2018,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2020,MK,A,MO AVG
NM0028762,2,1800023151,2601686030,001,1800023151,Q,1,1805556576,,2604219649,2602303629,X,,,,,D80,"DMR, Monitor Only - Overdue",70295,"Solids, total dissolved",19,mg/L,06/30/2011,3,,,,07/25/2011,,,1800044064,,C2,N,Non-Receipt of DMR/Schedule Report,08/28/2011,0,RE - Automated Administratively Resolved (DMR Non-Receipt Violations),08/28/2013,MK,A,MO AVG
